Prefix,Occurrence,FirstPosition,MidPosition,LastPosition,OnlyWord,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10,Rank11,Rank12,Rank13,Rank14,Rank15,Rank16,Rank17,Rank18,Rank19,Rank20
Aapt,36,31,5,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aar,1007,0,1007,0,0,0,1001,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abi,216,0,0,216,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accept,53,53,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Account,78,0,0,78,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adapter,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adb,157,0,157,0,0,0,5,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Add,1512,1497,15,0,0,1497,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advance,12,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aidl,11,0,5,6,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,188,0,184,4,0,0,184,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Already,73,0,73,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alt,36,0,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And,7,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Android,2568,223,2345,0,0,223,1962,51,39,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotated,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotation,815,0,0,815,0,0,160,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotations,4,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Any,73,0,73,0,0,0,67,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anyevent,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Api,191,0,191,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apk,1123,0,341,782,0,0,721,106,9,280,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Apklib,642,0,357,285,0,0,285,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apksources,184,0,0,184,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
App,216,0,216,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Application,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
